Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250043-València - Vivers
	
FECHA	HORA	SO2	NO	NO2	NOx	O3
04/01/2024	01	3	2	7	10	52
04/01/2024	02	3	2	6	9	48
04/01/2024	03	3	2	6	10	44
04/01/2024	04	3	2	9	12	36
04/01/2024	05	3	2	11	14	31
04/01/2024	06	3	4	21	28	16
04/01/2024	07	3	14	29	48	7
04/01/2024	08	3	12	28	47	7
04/01/2024	09	3	11	26	43	11
04/01/2024	10	3	14	29	50	14
04/01/2024	11	3	21	31	63	16
04/01/2024	12	3	10	21	37	28
04/01/2024	13	3	16	29	54	23
04/01/2024	14	3	12	29	47	24
04/01/2024	15	3	4	16	22	48
04/01/2024	16	3	4	19	24	45
04/01/2024	17	3	9	37	50	15
04/01/2024	18	3	4	35	41	11
04/01/2024	19	3	2	25	29	23
04/01/2024	20	3	3	29	33	17
04/01/2024	21	3	3	24	28	18
04/01/2024	22	3	3	26	31	16
04/01/2024	23	3	9	35	49	2
05/01/2024	00	3	6	32	41	3
05/01/2024	01	3	6	26	34	2
05/01/2024	02	3	3	18	23	13
05/01/2024	03	3	2	10	14	31
05/01/2024	04	3	2	5	8	49
05/01/2024	05	3	2	5	8	55
05/01/2024	06	3	2	8	12	46
05/01/2024	07	3	4	17	23	36
05/01/2024	08	3	3	20	25	30
05/01/2024	10	3	4	11	16	43
05/01/2024	11	3	4	7	12	58
05/01/2024	12	3	3	7	11	64
05/01/2024	13	3	3	7	11	67
05/01/2024	14	3	3	7	12	68
05/01/2024	15	3	2	5	9	69
05/01/2024	16	3	2	4	7	76
05/01/2024	17	3	2	7	11	71
05/01/2024	18	3	2	10	14	63
05/01/2024	19	3	2	8	11	63
05/01/2024	20	3	2	8	11	63
05/01/2024	21	3	2	6	9	66
05/01/2024	22	3	3	5	9	68
05/01/2024	23	3	2	5	8	71
06/01/2024	00	3	2	5	8	70
06/01/2024	01	3	2	4	7	69
06/01/2024	02	3	2	5	8	60
06/01/2024	03	3	3	5	8	60
06/01/2024	04	3	2	4	7	61
06/01/2024	05	3	2	4	8	61
06/01/2024	06	3	2	5	8	60
06/01/2024	07	3	2	6	9	59
06/01/2024	08	4	2	5	8	54
06/01/2024	09	4	3	8	12	51
06/01/2024	10	3	3	7	12	53
06/01/2024	11	3	3	4	8	66
06/01/2024	12	3	3	3	8	70
06/01/2024	13	3	2	4	7	71
06/01/2024	14	3	3	3	7	72
06/01/2024	15	3	2	3	7	72
06/01/2024	16	3	2	3	6	73
06/01/2024	17	3	2	4	7	70
06/01/2024	18	3	2	6	9	66
06/01/2024	19	3	2	5	9	67
06/01/2024	20	3	2	6	9	63
06/01/2024	21	3	2	8	11	58
06/01/2024	22	3	2	4	8	64
06/01/2024	23	3	2	3	7	66
07/01/2024	00	3	2	3	7	70
07/01/2024	01	3	2	3	6	71
07/01/2024	02	3	2	3	6	68
07/01/2024	03	3	2	3	6	67
07/01/2024	04	4	2	3	7	67
07/01/2024	05	4	2	3	6	61
07/01/2024	06	5	2	3	7	62
07/01/2024	07	6	3	3	7	62
07/01/2024	08	6	2	5	8	64
07/01/2024	09	4	3	6	10	63
07/01/2024	10	3	3	6	10	67
07/01/2024	11	3	3	4	8	72
07/01/2024	12	3	2	4	7	73
07/01/2024	13	3	3	4	8	74
07/01/2024	14	3	2	4	7	75
07/01/2024	15	3	2	3	6	77
07/01/2024	16	3	2	3	6	77
07/01/2024	17	3	2	4	7	74
07/01/2024	18	3	2	10	14	64
07/01/2024	19	3	3	19	23	49
07/01/2024	20	3	3	12	16	57
07/01/2024	21	3	2	8	12	63
07/01/2024	22	3	2	6	9	65
07/01/2024	23	5	2	4	7	72
08/01/2024	00	5	2	4	7	71
08/01/2024	01	5	2	3	6	69
08/01/2024	02	5	2	3	6	72
08/01/2024	03	6	2	3	7	73
08/01/2024	04	6	2	3	6	72
08/01/2024	05	6	2	3	7	70
08/01/2024	06	6	3	6	10	65
08/01/2024	07	6	4	10	16	58
08/01/2024	08	6	3	13	17	55
08/01/2024	09	4	3	12	16	53
08/01/2024	10	4	4	8	14	60
08/01/2024	11	3	4	8	14	62
08/01/2024	12	3	5	9	16	63
08/01/2024	13	3	4	8	14	68
08/01/2024	14	3	3	7	11	70
08/01/2024	15	3	4	10	15	69
08/01/2024	16	3	5	16	23	63
08/01/2024	17	3	4	19	24	55
08/01/2024	18	3	3	17	21	53
08/01/2024	19	3	17	47	73	8
08/01/2024	20	3	28	52	95	2
08/01/2024	21	5	60	52	143	2
08/01/2024	22	6	36	48	103	2
08/01/2024	23	5	12	43	61	3
09/01/2024	00	4	6	33	42	11
09/01/2024	01	4	2	19	23	25
09/01/2024	02	4	3	18	22	22
09/01/2024	03	4	2	15	19	23
09/01/2024	04	4	2	18	21	19
09/01/2024	05	4	4	22	29	11
09/01/2024	06	5	6	27	36	11
09/01/2024	07	6	18	34	60	4
09/01/2024	08	6	45	42	110	2
09/01/2024	09	4	46	41	111	3
09/01/2024	10	3	29	37	81	16
09/01/2024	11	3	6	18	27	45
09/01/2024	12	3	7	18	29	49
09/01/2024	13	3	5	17	25	54
09/01/2024	14	3	3	13	19	55
09/01/2024	15	3	3	9	13	63
09/01/2024	16	3	2	9	13	64
09/01/2024	17	3	2	9	13	65
09/01/2024	18	3	2	16	19	55
09/01/2024	19	3	2	14	18	52
09/01/2024	20	3	2	18	21	47
09/01/2024	21	3	2	18	21	45
09/01/2024	22	3	2	14	17	49
09/01/2024	23	3	2	12	16	51
10/01/2024	00	3	2	16	20	38
10/01/2024	01	3	2	19	22	28
10/01/2024	02	3	3	16	19	32
10/01/2024	03	3	2	10	13	40
10/01/2024	04	3	2	10	13	35
10/01/2024	05	3	2	9	12	36
10/01/2024	06	3	4	15	21	25
10/01/2024	07	4	27	40	82	2
10/01/2024	08	4	40	38	99	2
10/01/2024	09	4	47	46	117	4
10/01/2024	10	3	20	37	68	13
10/01/2024	11	3	18	34	62	23
10/01/2024	12	3	8	23	35	40
10/01/2024	13	3	7	25	36	35
10/01/2024	14	3	5	23	30	33
10/01/2024	15	3	3	13	18	41
10/01/2024	16	3	5	18	26	36
10/01/2024	17	3	5	26	33	25
10/01/2024	18	3	3	18	22	34
10/01/2024	19	3	4	17	23	30
10/01/2024	20	3	3	19	23	27
10/01/2024	21	3	2	15	18	33
10/01/2024	22	3	3	20	24	25
10/01/2024	23	4	2	14	18	32
11/01/2024	00	4	2	8	11	42
11/01/2024	01	5	2	8	11	31
11/01/2024	02	5	2	6	9	34
11/01/2024	03	5	2	6	10	24
11/01/2024	04	5	2	8	11	25
11/01/2024	05	6	2	8	11	27
11/01/2024	06	6	5	20	27	9
11/01/2024	07	7	17	24	50	1
11/01/2024	08	6	7	26	36	7
11/01/2024	09	4	5	23	31	13
11/01/2024	10	3	9	21	34	16
11/01/2024	11	3	6	11	20	32
11/01/2024	12	3	5	10	17	40
11/01/2024	13	3	4	11	18	44
11/01/2024	14	3	5	14	22	41
11/01/2024	15	3	3	9	14	52
11/01/2024	16	3	3	12	17	51
11/01/2024	17	3	2	12	15	52
11/01/2024	18	3	3	15	19	43
11/01/2024	19	3	2	19	22	38
11/01/2024	20	3	3	13	17	47
11/01/2024	21	3	2	8	12	53
11/01/2024	22	3	2	9	13	44
11/01/2024	23	4	6	27	35	11
12/01/2024	00	5	3	15	19	24
12/01/2024	01	6	2	9	12	28
12/01/2024	02	6	2	8	12	27
12/01/2024	03	8	2	8	11	26
12/01/2024	04	9	3	6	10	33
12/01/2024	05	8	3	6	10	31
12/01/2024	06	9	3	9	13	28
12/01/2024	07	10	16	36	59	9
12/01/2024	08	12	22	36	70	4
12/01/2024	09	6	16	29	54	12
12/01/2024	10	3	9	17	30	29
12/01/2024	11	3	7	13	23	39
12/01/2024	12	3	7	16	28	42
12/01/2024	13	3	6	17	26	43
12/01/2024	14	3	5	15	22	50
12/01/2024	15	3	3	13	19	54
12/01/2024	16	3	3	13	18	53
12/01/2024	17	3	3	20	25	39
12/01/2024	18	3	6	30	39	22
12/01/2024	19	3	6	33	43	14
12/01/2024	20	3	11	39	56	4
12/01/2024	21	3	13	37	57	1
12/01/2024	22	5	39	41	100	1
12/01/2024	23	5	16	35	60	2
13/01/2024	00	5	8	31	44	2
13/01/2024	01	5	13	29	48	2
13/01/2024	02	6	13	29	49	1
13/01/2024	03	6	15	25	48	1
13/01/2024	04	6	5	21	29	4
13/01/2024	05	7	4	20	25	5
13/01/2024	06	7	3	17	22	5
13/01/2024	07	8	8	21	33	3
13/01/2024	08	9	15	24	47	2
13/01/2024	09	5	19	25	54	4
13/01/2024	10	3	12	21	39	13
13/01/2024	11	3	13	24	43	17
13/01/2024	12	3	14	24	46	23
13/01/2024	13	3	8	20	33	36
13/01/2024	14	3	14	26	48	27
13/01/2024	15	3	7	22	33	35
13/01/2024	16	3	3	15	19	47
13/01/2024	17	3	3	17	21	44
13/01/2024	18	3	2	13	17	45
13/01/2024	19	3	3	17	22	35
13/01/2024	20	3	4	28	34	15
13/01/2024	21	3	10	35	50	6
13/01/2024	22	3	16	39	63	1
13/01/2024	23	4	10	35	51	2
14/01/2024	00	4	14	33	54	1
14/01/2024	01	4	9	29	43	5
14/01/2024	02	4	3	8	12	40
14/01/2024	03	3	3	10	14	33
14/01/2024	04	3	2	9	12	31
14/01/2024	05	3	4	11	17	21
14/01/2024	06	3	3	13	18	23
14/01/2024	07	3	3	9	13	34
14/01/2024	08	3	2	7	11	38
14/01/2024	09	3	2	4	7	46
14/01/2024	10	3	2	4	8	47
14/01/2024	11	3	3	5	9	49
14/01/2024	12	3	3	6	10	48
14/01/2024	13	3	3	7	11	50
14/01/2024	14	3	2	5	9	55
14/01/2024	15	3	2	5	9	56
14/01/2024	16	3	2	6	9	57
14/01/2024	17	3	2	6	10	56
14/01/2024	18	3	2	9	12	51
14/01/2024	19	3	2	8	12	51
14/01/2024	20	3	2	5	8	58
14/01/2024	21	4	2	6	10	54
14/01/2024	22	4	2	10	13	45
14/01/2024	23	4	2	10	13	39
15/01/2024	00	3	2	7	10	48
15/01/2024	01	3	2	5	9	47
15/01/2024	02	3	2	5	8	47
15/01/2024	03	3	2	3	7	50
15/01/2024	04	3	2	3	7	51
15/01/2024	05	3	2	4	7	51
15/01/2024	06	3	3	4	8	49
15/01/2024	07	3	2	9	12	39
15/01/2024	08	3	4	15	21	26
15/01/2024	09	3	3	13	18	31
15/01/2024	10	5	3	10	15	36
15/01/2024	11	4	3	9	13	38
15/01/2024	12	5	4	7	12	43
15/01/2024	13	4	4	9	15	43
15/01/2024	14	5	3	6	11	40
15/01/2024	15	4	3	8	12	41
15/01/2024	16	4	2	8	12	51
15/01/2024	17	5	3	9	12	52
15/01/2024	18	5	4	12	18	43
15/01/2024	19	5	3	12	16	45
15/01/2024	20	5	3	12	16	48
15/01/2024	21	4	2	13	16	43
15/01/2024	22	3	2	5	8	52
15/01/2024	23	3	2	3	7	55
16/01/2024	00	3	2	3	7	56
16/01/2024	01	3	2	3	6	56
16/01/2024	02	3	2	3	6	57
16/01/2024	03	3	2	3	6	54
16/01/2024	04	3	2	3	6	54
16/01/2024	05	3	2	4	7	53
16/01/2024	06	3	2	4	8	55
16/01/2024	07	3	3	11	16	42
16/01/2024	08	3	11	27	44	14
16/01/2024	09	4	29	33	77	3
16/01/2024	10	4	12	18	36	23
16/01/2024	11	3	4	11	16	40
16/01/2024	12	3	6	19	27	29
16/01/2024	13	4	4	14	20	35
16/01/2024	14	4	4	11	17	39
16/01/2024	15	4	3	8	13	45
16/01/2024	16	4	3	8	13	51
16/01/2024	17	5	3	15	20	41
16/01/2024	18	4	5	26	33	18
16/01/2024	19	4	5	24	31	18
16/01/2024	20	5	3	20	25	25
16/01/2024	21	3	3	10	14	44
16/01/2024	22	3	3	5	9	57
16/01/2024	23	3	2	3	7	69
17/01/2024	00	3	2	3	6	66
17/01/2024	01	3	2	4	7	63
17/01/2024	02	3	2	7	10	53
17/01/2024	03	3	3	5	8	54
17/01/2024	04	3	2	4	8	54
17/01/2024	05	3	3	9	12	38
17/01/2024	06	3	4	20	26	18
17/01/2024	07	3	14	31	52	4
17/01/2024	08	3	37	35	92	1
17/01/2024	09	4	9	24	38	24
17/01/2024	10	3	11	21	38	30
17/01/2024	11	3	3	5	10	64
17/01/2024	12	3	2	5	9	68
17/01/2024	13	3	3	6	10	72
17/01/2024	14	3	3	4	8	76
17/01/2024	15	3	2	5	9	75
17/01/2024	16	4	2	5	9	73
17/01/2024	17	5	2	6	10	76
17/01/2024	18	5	3	9	13	62
17/01/2024	19	5	2	8	12	61
17/01/2024	20	5	3	4	8	72
17/01/2024	21	4	2	3	7	75
17/01/2024	22	3	2	4	7	73
17/01/2024	23	3	2	3	6	76
18/01/2024	00	3	2	3	6	76
18/01/2024	01	3	2	3	6	74
18/01/2024	02	3	2	3	6	74
18/01/2024	03	3	2	3	6	73
18/01/2024	04	3	2	3	6	72
18/01/2024	05	3	2	3	6	72
18/01/2024	06	3	2	3	7	68
18/01/2024	07	3	2	6	10	64
18/01/2024	08	3	3	8	13	57
18/01/2024	09	3	3	9	13	53
18/01/2024	10	4	2	5	9	64
18/01/2024	11	5	3	4	9	65
18/01/2024	12	4	3	5	10	67
18/01/2024	13	4	3	5	9	68
18/01/2024	14	5	3	4	8	69
18/01/2024	15	5	2	5	9	69
18/01/2024	16	5	3	8	13	59
18/01/2024	17	5	3	9	14	55
18/01/2024	18	5	2	10	14	54
18/01/2024	19	5	5	17	25	38
18/01/2024	20	5	3	11	16	43
18/01/2024	21	4	3	6	10	53
18/01/2024	22	3	2	7	10	52
18/01/2024	23	3	2	5	8	53
19/01/2024	00	3	2	4	7	55
19/01/2024	01	3	2	3	7	57
19/01/2024	02	3	2	4	7	56
19/01/2024	03	3	2	5	8	47
19/01/2024	04	3	3	5	9	42
19/01/2024	05	3	2	8	12	31
19/01/2024	06	3	3	17	21	21
19/01/2024	07	3	6	24	34	4
19/01/2024	08	3	2	16	20	23
19/01/2024	09	4	3	9	13	45
19/01/2024	10	4	2	5	9	56
19/01/2024	11	3	2	4	8	57
19/01/2024	12	3	2	5	9	54
19/01/2024	13	3	3	10	13	43
19/01/2024	14	3	2	7	10	47
19/01/2024	15	3	2	5	8	54
19/01/2024	16	3	2	6	9	48
19/01/2024	17	3	2	7	10	42
19/01/2024	18	4	2	5	9	50
19/01/2024	19	5	2	5	8	55
19/01/2024	20	5	2	5	8	51
19/01/2024	21	4	2	5	8	53
19/01/2024	22	4	2	4	7	53
19/01/2024	23	4	2	3	7	55
20/01/2024	00	4	3	5	9	49
20/01/2024	01	5	2	6	9	45
20/01/2024	02	5	3	6	9	45
20/01/2024	03	5	2	4	7	54
20/01/2024	04	5	3	3	7	55
20/01/2024	05	5	2	4	8	47
20/01/2024	06	4	3	4	8	51
20/01/2024	07	5	2	4	7	61
20/01/2024	08	5	2	9	12	35
20/01/2024	09	4	4	12	18	26
20/01/2024	10	3	4	9	15	23
20/01/2024	11	3	4	6	12	34
20/01/2024	12	3	3	5	10	41
20/01/2024	13	3	3	6	11	44
20/01/2024	14	3	3	8	13	45
20/01/2024	15	3	3	10	15	40
20/01/2024	16	3	4	16	22	31
20/01/2024	17	3	5	19	27	24
20/01/2024	18	3	2	9	12	51
20/01/2024	19	3	2	7	10	62
20/01/2024	20	3	2	5	9	66
20/01/2024	21	3	2	8	12	58
20/01/2024	22	3	2	7	11	55
20/01/2024	23	3	2	8	12	46
21/01/2024	00	3	2	8	11	43
21/01/2024	01	3	3	10	14	40
21/01/2024	02	3	3	10	14	34
21/01/2024	03	3	2	6	10	43
21/01/2024	04	3	2	6	9	43
21/01/2024	05	4	3	6	10	37
21/01/2024	06	4	3	7	10	29
21/01/2024	07	5	3	10	14	17
21/01/2024	08	6	4	14	20	10
21/01/2024	09	4	5	12	20	18
21/01/2024	10	3	6	10	19	29
21/01/2024	11	3	3	6	11	44
21/01/2024	12	3	3	5	10	50
21/01/2024	13	3	3	4	8	59
21/01/2024	14	3	3	5	9	61
21/01/2024	15	3	3	8	12	55
21/01/2024	16	3	2	5	9	64
21/01/2024	17	3	2	7	11	63
21/01/2024	18	3	2	16	20	41
21/01/2024	19	3	3	19	23	34
21/01/2024	20	3	2	15	18	30
21/01/2024	21	3	3	15	19	28
21/01/2024	22	3	3	15	19	20
21/01/2024	23	5	3	16	21	10
22/01/2024	00	5	3	10	14	18
22/01/2024	01	5	2	6	10	24
22/01/2024	02	5	2	5	9	24
22/01/2024	03	6	2	6	9	21
22/01/2024	04	6	2	6	10	16
22/01/2024	05	6	3	9	13	12
22/01/2024	06	7	4	12	17	5
22/01/2024	07	9	11	14	31	2
22/01/2024	08	10	27	16	57	2
22/01/2024	09	6	25	18	57	5
22/01/2024	10	3	21	18	51	10
22/01/2024	11	3	13	15	35	18
22/01/2024	12	3	8	12	24	28
22/01/2024	13	3	11	18	34	24
22/01/2024	14	3	7	14	25	33
22/01/2024	15	3	4	7	12	54
22/01/2024	16	3	3	6	10	58
22/01/2024	17	3	2	7	11	54
22/01/2024	18	3	2	9	13	46
22/01/2024	19	3	3	19	24	19
22/01/2024	20	3	6	25	34	2
22/01/2024	21	3	17	27	53	1
22/01/2024	22	4	21	27	59	1
22/01/2024	23	4	10	24	39	2
23/01/2024	00	3	7	20	31	3
23/01/2024	01	3	4	15	20	6
23/01/2024	02	4	3	11	15	10
23/01/2024	03	4	3	11	16	7
23/01/2024	04	5	3	12	17	5
23/01/2024	05	5	3	10	15	6
23/01/2024	06	5	9	13	26	2
23/01/2024	07	7	32	18	67	1
23/01/2024	08	7	43	19	86	2
23/01/2024	09	4	37	20	77	4
23/01/2024	10	3	18	17	44	10
23/01/2024	11	3	13	14	34	17
23/01/2024	12	3	7	10	20	31
23/01/2024	13	3	8	12	24	33
23/01/2024	14	3	4	9	15	45
23/01/2024	15	3	3	6	10	52
23/01/2024	16	3	3	9	14	49
23/01/2024	17	3	19	26	55	9
23/01/2024	18	3	9	26	40	7
23/01/2024	19	3	5	24	31	13
23/01/2024	20	3	3	24	29	9
23/01/2024	21	3	4	22	28	4
23/01/2024	22	3	9	21	34	1
23/01/2024	23	5	13	22	41	1
24/01/2024	00	5	15	19	42	1
24/01/2024	01	5	6	18	27	2
24/01/2024	02	6	3	12	17	4
24/01/2024	03	6	2	7	11	10
24/01/2024	04	6	3	10	14	5
24/01/2024	05	7	3	9	13	6
24/01/2024	06	8	6	11	20	4
24/01/2024	07	8	17	15	42	2
24/01/2024	08	11	40	18	79	2
24/01/2024	09	6	52	20	99	3
24/01/2024	10	3	24	16	53	7
24/01/2024	11	3	18	18	46	12
24/01/2024	12	3	15	19	42	17
24/01/2024	13	3	10	18	33	27
24/01/2024	14	3	5	13	22	44
24/01/2024	15	3	4	12	18	56
24/01/2024	16	3	3	11	16	54
24/01/2024	17	3	4	20	26	35
24/01/2024	18	3	9	30	43	2
24/01/2024	19	3	20	31	61	1
24/01/2024	20	3	12	27	45	3
24/01/2024	21	3	3	15	19	21
24/01/2024	22	3	3	15	20	21
24/01/2024	23	3	4	19	25	8
25/01/2024	00	3	8	19	31	2
25/01/2024	01	5	23	19	54	1
25/01/2024	02	5	12	15	34	1
25/01/2024	03	5	5	12	20	1
25/01/2024	04	6	7	14	24	3
25/01/2024	05	6	11	13	29	1
25/01/2024	06	6	11	12	28	1
25/01/2024	07	8	25	14	52	1
25/01/2024	08	12	63	21	117	2
25/01/2024	09	7	68	24	128	3
25/01/2024	10	3	43	26	92	5
25/01/2024	11	3	21	21	54	14
25/01/2024	12	3	6	13	22	43
25/01/2024	13	3	16	21	45	28
25/01/2024	14	3	9	18	32	37
25/01/2024	15	3	4	13	19	57
25/01/2024	16	3	4	13	19	47
25/01/2024	17	3	5	18	26	20
25/01/2024	18	3	4	18	25	8
25/01/2024	19	3	6	21	31	3
25/01/2024	20	3	20	22	52	1
25/01/2024	21	3	30	26	72	2
25/01/2024	22	3	20	26	57	1
25/01/2024	23	3	15	22	46	1
26/01/2024	00	3	17	20	46	1
26/01/2024	01	3				1
26/01/2024	02	4				1
26/01/2024	03	5				1
26/01/2024	04	5				1
26/01/2024	05	5				2
26/01/2024	06	6				1
26/01/2024	07	6				1
26/01/2024	08	8				4
26/01/2024	09	6				2
26/01/2024	10	3				5
26/01/2024	11	3				10
26/01/2024	12	3				18
26/01/2024	13	3				54
26/01/2024	14	3				69
26/01/2024	15	3				73
26/01/2024	16	3				76
26/01/2024	17	3				65
26/01/2024	18	3				40
26/01/2024	19	3				6
26/01/2024	20	3				1
26/01/2024	21	4				2
26/01/2024	22	4				1
26/01/2024	23	3				1
27/01/2024	00	3				2
27/01/2024	01	3				3
27/01/2024	02	3				6
27/01/2024	03	5				11
27/01/2024	04	5				14
27/01/2024	05	5				15
27/01/2024	06	6				14
27/01/2024	07	5				6
27/01/2024	08	6				3
27/01/2024	09	4				4
27/01/2024	10	3				8
27/01/2024	11	3				12
27/01/2024	12	3				30
27/01/2024	13	3				42
27/01/2024	14	3				59
27/01/2024	15	3				71
27/01/2024	16	3				34
27/01/2024	17	3				9
27/01/2024	18	3				23
27/01/2024	19	3				11
27/01/2024	20	3				15
27/01/2024	21	3				5
27/01/2024	22	3				5
27/01/2024	23	4				2
28/01/2024	00	5				1
28/01/2024	01	4				2
28/01/2024	02	5				4
28/01/2024	03	6				5
28/01/2024	04	6				8
28/01/2024	05	6				9
28/01/2024	06	6				5
28/01/2024	07	7				3
28/01/2024	08	8				2
28/01/2024	09	5				6
28/01/2024	10	3				22
28/01/2024	11	3				32
28/01/2024	12	3				45
28/01/2024	13	3				52
28/01/2024	14	3				68
28/01/2024	15	3				75
28/01/2024	16	3				72
28/01/2024	17	3				72
28/01/2024	18	3				72
28/01/2024	19	3				73
28/01/2024	20	3				69
28/01/2024	21	3				59
28/01/2024	22	3				55
28/01/2024	23	3				51
29/01/2024	00	3				55
29/01/2024	01	3				59
29/01/2024	02	3				43
29/01/2024	03	3				44
29/01/2024	04	4				47
29/01/2024	05	4				44
29/01/2024	06	5				31
29/01/2024	07	6				5
29/01/2024	08	7				1
29/01/2024	09	5				3
29/01/2024	10	3				8
29/01/2024	11	3				13
29/01/2024	12	3				29
29/01/2024	13	3				52
29/01/2024	14	3				61
29/01/2024	15	3				57
29/01/2024	16	3				63
29/01/2024	17	3				60
29/01/2024	18	3				50
29/01/2024	19	3				50
29/01/2024	20	3				48
29/01/2024	21	3				42
29/01/2024	22	3				35
29/01/2024	23	3				25
30/01/2024	00	3				17
30/01/2024	01	3				15
30/01/2024	02	3				23
30/01/2024	03	3				12
30/01/2024	04	3				15
30/01/2024	05	3				20
30/01/2024	06	3				17
30/01/2024	07	3				10
30/01/2024	09	4				7
30/01/2024	10	3				18
30/01/2024	11	3				30
30/01/2024	12	3				40
30/01/2024	13	3				39
30/01/2024	14	3				13
30/01/2024	15	3				15
30/01/2024	16	3				46
30/01/2024	17	3				52
30/01/2024	18	3				48
30/01/2024	19	3				48
30/01/2024	20	3				64
30/01/2024	21	3				53
30/01/2024	22	3				43
30/01/2024	23	3				47
31/01/2024	00	3				47
31/01/2024	01	3				51
31/01/2024	02	3				44
31/01/2024	03	3				45
31/01/2024	04	3				53
31/01/2024	05	3				58
31/01/2024	06	4				46
31/01/2024	07	4				27
31/01/2024	08	4				18
31/01/2024	09	3				29
31/01/2024	10	3				55
31/01/2024	11	3				62
31/01/2024	12	6	3	21	26	72
31/01/2024	13	5	2	18	22	77
31/01/2024	14	6	2	19	22	77
31/01/2024	15	5	2	15	18	81
31/01/2024	16	5	2	23	27	71
31/01/2024	17	5	2	33	36	62
31/01/2024	18	5	6	73	82	17
31/01/2024	19	6	18	82	109	8
31/01/2024	20	7	16	75	100	8
31/01/2024	21	4	9	62	76	8
31/01/2024	22	4	27	68	109	9
31/01/2024	23	4	17	58	84	8
01/02/2024	00	4	5	39	46	13
01/02/2024	01	5	2	25	28	23
01/02/2024	02	6	2	17	20	29
01/02/2024	03	6	2	14	18	31
01/02/2024	04	6	2	13	16	30
01/02/2024	05	7	2	14	16	25
01/02/2024	06	7	4	26	31	16
01/02/2024	07	9	20	40	70	8
01/02/2024	08	10	46	46	116	8
01/02/2024	09	6	44	48	115	11
01/02/2024	10	3	30	44	90	16
01/02/2024	11	3	19	41	70	24
01/02/2024	12	3	10	36	52	39
01/02/2024	13	3	17	53	79	52
01/02/2024	14	3	4	19	24	75
01/02/2024	15	3	3	19	23	81
01/02/2024	16	3	3	28	32	73
01/02/2024	17	3	4	51	57	53
01/02/2024	18	3	11	81	98	22
01/02/2024	19	3	20	84	114	17
01/02/2024	20	3	3	60	64	39
01/02/2024	21	3	2	51	54	39
01/02/2024	22	3	2	45	48	34
01/02/2024	23	5	8	68	80	12
02/02/2024	00	6	22	66	100	8
02/02/2024	01	6	17	59	85	8
